OBJECTID,Site_Name,State,latitude,longitude,Operational_Status,Reporting_Component,Is_Joint_Base,date,daily_weather_code,daily_temperature_2m_max,daily_temperature_2m_min,daily_temperature_2m_mean,daily_apparent_temperature_max,daily_apparent_temperature_min,daily_apparent_temperature_mean,daily_sunrise,daily_sunset,daily_daylight_duration,daily_sunshine_duration,daily_uv_index_max,daily_uv_index_clear_sky_max,daily_precipitation_sum,daily_rain_sum,daily_showers_sum,daily_snowfall_sum,daily_precipitation_hours,daily_precipitation_probability_max,daily_precipitation_probability_mean,daily_precipitation_probability_min,daily_wind_speed_10m_max,daily_wind_gusts_10m_max,daily_wind_direction_10m_dominant,daily_shortwave_radiation_sum,daily_et0_fao_evapotranspiration
1,Altus Air Force Base,,34.66638888888889,-99.26805555555556,act,xlsx,,2026-03-03,3,86.0,46.7,63.2,83.9,42.7,58.9,2026-03-03T07:03,2026-03-03T18:34,41481.94,38016.31,6.1,6.1,0.0,0.0,0.0,0.0,0.0,13,1,0,33.5,52.6,118,19.27,4.64
1,Altus Air Force Base,,34.66638888888889,-99.26805555555556,act,xlsx,,2026-03-04,51,61.4,46.9,53.5,57.9,42.2,48.4,2026-03-04T07:01,2026-03-04T18:35,41609.58,13687.09,5.8,6.1,0.05,0.05,0.0,0.0,1.0,26,7,0,28.4,48.6,13,11.7,2.14
1,Altus Air Force Base,,34.66638888888889,-99.26805555555556,act,xlsx,,2026-03-05,81,79.7,46.7,63.8,75.3,43.8,60.2,2026-03-05T07:00,2026-03-05T18:36,41738.09,36271.04,6.2,6.2,13.4,2.8,10.6,0.0,9.0,80,40,20,48.7,73.8,162,16.43,3.55
1,Altus Air Force Base,,34.66638888888889,-99.26805555555556,act,xlsx,,2026-03-06,80,84.0,62.9,70.4,72.7,54.3,62.7,2026-03-06T06:59,2026-03-06T18:37,41867.37,38512.32,6.35,6.35,2.2,0.4,1.8,0.0,4.0,80,26,15,40.0,69.8,190,19.81,6.03
1,Altus Air Force Base,,34.66638888888889,-99.26805555555556,act,xlsx,,2026-03-07,3,61.9,49.1,56.4,53.8,36.0,46.5,2026-03-07T06:58,2026-03-07T18:38,41997.34,38391.78,4.95,6.25,0.0,0.0,0.0,0.0,0.0,20,16,11,34.9,60.8,33,14.39,4.31
1,Altus Air Force Base,,34.66638888888889,-99.26805555555556,act,xlsx,,2026-03-08,3,72.4,47.7,60.0,66.2,42.5,55.1,2026-03-08T06:56,2026-03-08T18:38,42127.89,39193.41,5.55,5.95,0.0,0.0,0.0,0.0,0.0,20,8,4,20.9,45.7,209,19.03,4.05
1,Altus Air Force Base,,34.66638888888889,-99.26805555555556,act,xlsx,,2026-03-09,3,83.6,58.4,70.5,78.9,57.0,67.2,2026-03-09T06:55,2026-03-09T18:39,42258.94,39326.93,5.95,5.95,0.0,0.0,0.0,0.0,0.0,26,16,8,34.5,56.9,202,20.1,5.15
2,Joint Base Anacostia-Bolling,,38.84277777777778,-77.01611111111112,act,xlsx,,2026-03-03,73,44.4,32.0,36.8,38.6,26.5,31.8,2026-03-03T06:37,2026-03-03T18:02,41139.56,0.0,2.05,5.0,4.6,3.8,0.0,0.56,11.0,62,26,4,15.5,36.0,175,3.82,0.45
2,Joint Base Anacostia-Bolling,,38.84277777777778,-77.01611111111112,act,xlsx,,2026-03-04,51,52.1,44.3,48.3,49.1,38.4,44.6,2026-03-04T06:35,2026-03-04T18:03,41288.3,0.0,2.65,5.15,1.1,1.1,0.0,0.0,5.0,60,28,12,21.9,49.7,160,2.67,0.5
2,Joint Base Anacostia-Bolling,,38.84277777777778,-77.01611111111112,act,xlsx,,2026-03-05,53,74.5,46.0,59.4,74.2,43.8,58.6,2026-03-05T06:34,2026-03-05T18:04,41438.04,38319.3,5.35,5.35,1.5,0.0,1.5,0.0,3.0,60,36,21,14.6,47.5,208,16.97,2.93
