OBJECTID,Site_Name,State,Operational_Status,Reporting_Component,Is_Joint_Base,latitude,longitude,Location,Region,Coordinates
1,Altus Air Force Base,,act,xlsx,,34.66638888888889,-99.26805555555555,Altus,Oklahoma,34°39′59″N 099°16′05″W
2,Joint Base Anacostia-Bolling,,act,xlsx,,38.84277777777778,-77.01611111111112,Southwest,"Washington, D.C.",38°50′34″N 077°00′58″W
3,Joint Base Andrews-Naval Air Facility Washington,,act,xlsx,,38.81083333333333,-76.86694444444444,Camp Springs,Maryland,38°48′39″N 076°52′01″W
4,Arnold Air Force Base,,act,xlsx,,35.3925,-86.08583333333333,near Tullahoma,Tennessee,35°23′33″N 086°05′09″W
5,Barksdale Air Force Base,,act,xlsx,,32.50194444444445,-93.66277777777778,Bossier City,Louisiana,32°30′07″N 093°39′46″W
6,Beale Air Force Base,,act,xlsx,,39.13611111111111,-121.4363888888889,Waldo Junction,California,39°08′10″N 121°26′11″W
7,Cannon Air Force Base,,act,xlsx,,34.382777777777775,-103.32222222222222,Clovis,New Mexico,34°22′58″N 103°19′20″W
8,Joint Base Charleston,,act,xlsx,,32.89861111111111,-80.04055555555556,Charleston,South Carolina,32°53′55″N 080°02′26″W
9,Columbus Air Force Base,,act,xlsx,,33.64388888888889,-88.44388888888889,Columbus,Mississippi,33°38′38″N 088°26′38″W
10,Creech Air Force Base,,act,xlsx,,36.58722222222222,-115.67333333333333,Indian Springs,Nevada,36°35′14″N 115°40′24″W
11,Davis–Monthan Air Force Base,,act,xlsx,,32.16638888888889,-110.88305555555554,Tucson,Arizona,32°09′59″N 110°52′59″W
12,Dover Air Force Base,,act,xlsx,,39.12833333333333,-75.46472222222222,Dover,Delaware,39°07′42″N 075°27′53″W
13,Dyess Air Force Base,,act,xlsx,,32.420833333333334,-99.85472222222222,Abilene,Texas,32°25′15″N 099°51′17″W
14,Edwards Air Force Base,,act,xlsx,,34.90555555555555,-117.88361111111112,Edwards,California,34°54′20″N 117°53′01″W
15,Eglin Air Force Base,,act,xlsx,,30.483333333333334,-86.53333333333333,Valparaiso,Florida,30°29′N 086°32′W
16,Ellsworth Air Force Base,,act,xlsx,,44.144999999999996,-103.1036111111111,Box Elder,South Dakota,44°08′42″N 103°06′13″W
17,Francis E. Warren Air Force Base,,act,xlsx,,41.13305555555556,-104.86694444444444,Cheyenne,Wyoming,41°07′59″N 104°52′01″W
18,Fairchild Air Force Base,,act,xlsx,,47.615,-117.65555555555557,Spokane,Washington,47°36′54″N 117°39′20″W
19,Fort George G. Meade,,act,xlsx,,39.106944444444444,-76.74305555555556,Odenton,Maryland,39°6′25″N 76°44′35″W
20,Gila Bend Air Force Auxiliary Field,,act,xlsx,,32.8875,-112.72,Gila Bend,Arizona,32°53′15″N 112°43′12″W
21,Goodfellow Air Force Base,,act,xlsx,,31.429444444444446,-100.39888888888889,San Angelo,Texas,31°25′46″N 100°23′56″W
22,Grand Forks Air Force Base,,act,xlsx,,47.961111111111116,-97.40111111111112,Grand Forks,North Dakota,47°57′40″N 097°24′04″W
23,Hanscom Air Force Base,,act,xlsx,,42.47,-71.28916666666666,Lincoln,Massachusetts,42°28′12″N 071°17′21″W
24,Hill Air Force Base,,act,xlsx,,41.12388888888889,-111.97277777777778,Ogden,Utah,41°07′26″N 111°58′22″W
25,Homey Airport,,act,xlsx,,37.233333333333334,-115.80833333333334,Groom Lake,Nevada,37°14′0″N 115°48′30″W
26,Holloman Air Force Base,,act,xlsx,,32.8525,-106.10638888888889,Alamogordo,New Mexico,32°51′09″N 106°06′23″W
27,Hurlburt Field,,act,xlsx,,30.42777777777778,-86.68944444444445,Mary Esther,Florida,30°25′40″N 086°41′22″W
28,Keesler Air Force Base,,act,xlsx,,30.411388888888887,-88.92361111111111,Biloxi,Mississippi,30°24′41″N 088°55′25″W
29,Kegelman Air Force Auxiliary Field,,act,xlsx,,36.738055555555555,-98.1261111111111,Cherokee,Oklahoma,36°44′17″N 098°07′34″W
30,Kirtland Air Force Base,,act,xlsx,,35.040277777777774,-106.60916666666667,Albuquerque,New Mexico,35°02′25″N 106°36′33″W
31,Joint Base Langley–Eustis,,act,xlsx,,37.08277777777778,-76.36055555555555,Hampton,Virginia,37°04′58″N 076°21′38″W
32,Laughlin Air Force Base,,act,xlsx,,29.359444444444446,-100.77805555555555,Del Rio,Texas,29°21′34″N 100°46′41″W
33,Joint Base Lewis-McChord,,act,xlsx,,47.1475,-122.47944444444444,Tacoma,Washington,47°08′51″N 122°28′46″W
34,Little Rock Air Force Base,,act,xlsx,,34.91694444444444,-92.1463888888889,Jacksonville,Arkansas,34°55′01″N 092°08′47″W
35,Luke Air Force Base,,act,xlsx,,33.535,-112.38305555555554,Glendale,Arizona,33°32′06″N 112°22′59″W
36,MacDill Air Force Base,,act,xlsx,,27.849444444444444,-82.52111111111111,Tampa,Florida,27°50′58″N 082°31′16″W
37,Malmstrom Air Force Base,,act,xlsx,,47.50472222222222,-111.18722222222223,Great Falls,Montana,47°30′17″N 111°11′14″W
38,Maxwell Air Force Base,,act,xlsx,,32.37916666666667,-86.3625,Montgomery,Alabama,32°22′45″N 086°21′45″W
39,McConnell Air Force Base,,act,xlsx,,37.62305555555555,-97.26722222222222,Wichita,Kansas,37°37′23″N 097°16′02″W
