OBJECTID,Site_Name,State,latitude,longitude,Operational_Status,Reporting_Component,Is_Joint_Base,timezone,current_time,current_temperature_2m,current_relative_humidity_2m,current_apparent_temperature,current_is_day,current_precipitation,current_rain,current_showers,current_snowfall,current_weather_code,current_cloud_cover,current_pressure_msl,current_surface_pressure,current_wind_speed_10m,current_wind_direction_10m,current_wind_gusts_10m,daily_temperature_2m_max_7day_avg,daily_temperature_2m_min_7day_avg,daily_temperature_2m_mean_7day_avg,daily_apparent_temperature_max_7day_avg,daily_apparent_temperature_min_7day_avg,daily_precipitation_sum_7day_avg,daily_rain_sum_7day_avg,daily_snowfall_sum_7day_avg,daily_wind_speed_10m_max_7day_avg,daily_wind_gusts_10m_max_7day_avg,daily_sunshine_duration_7day_avg,daily_uv_index_max_7day_avg,daily_shortwave_radiation_sum_7day_avg,daily_precipitation_hours_7day_avg,daily_et0_fao_evapotranspiration_7day_avg,Cluster
1,Altus Air Force Base,,34.66638888888889,-99.26805555555556,act,xlsx,,America/Chicago,2026-03-03T10:00,66.4,66,61.5,1,0.0,0.0,0.0,0.0,3,100,1009.6,962.1,24.1,202,40.0,75.57142857142857,51.199999999999996,62.542857142857144,69.81428571428572,45.5,2.235714285714286,0.46428571428571425,0.0,34.41428571428572,58.31428571428571,34771.26857142857,5.8428571428571425,17.247142857142858,2.0,4.267142857142857,2
2,Joint Base Anacostia-Bolling,,38.84277777777778,-77.01611111111112,act,xlsx,,America/New_York,2026-03-03T11:00,33.5,100,29.5,1,0.0,0.0,0.0,0.0,45,100,1031.3,1030.3,1.8,360,2.5,66.44285714285715,47.785714285714285,56.300000000000004,65.4,43.614285714285714,2.2142857142857144,0.7999999999999999,0.08,16.942857142857143,44.48571428571428,25730.16285714286,4.25,11.45142857142857,5.0,2.07,1
3,Joint Base Andrews-Naval Air Facility Washington,,38.81083333333333,-76.86694444444444,act,xlsx,,America/New_York,2026-03-03T11:00,33.2,100,28.5,1,0.0,0.0,0.0,0.0,45,100,1031.4,1021.2,3.8,17,4.0,65.44285714285715,46.55714285714286,55.214285714285715,64.17142857142856,41.699999999999996,1.9114285714285713,0.74,0.06999999999999999,17.95714285714286,48.75714285714286,26108.441428571427,4.428571428571429,11.734285714285715,5.285714285714286,2.0571428571428574,1
4,Arnold Air Force Base,,35.3925,-86.08583333333333,act,xlsx,,America/Chicago,2026-03-03T10:00,61.9,67,56.0,1,0.0,0.0,0.0,0.0,2,78,1022.4,984.2,23.5,169,42.5,72.62857142857142,57.31428571428571,63.57142857142857,70.54285714285714,55.74285714285714,1.6142857142857143,1.157142857142857,0.0,22.485714285714288,43.94285714285714,32852.014285714286,4.885714285714286,14.248571428571427,1.5714285714285714,2.792857142857143,2
5,Barksdale Air Force Base,,32.50194444444445,-93.66277777777778,act,xlsx,,America/Chicago,2026-03-03T10:00,70.1,80,69.8,1,0.0,0.0,0.0,0.0,3,100,1018.0,1012.3,20.0,172,37.8,80.85714285714286,64.55714285714285,72.1,81.47142857142856,66.17142857142856,5.385714285714286,2.642857142857143,0.0,18.900000000000002,38.199999999999996,28377.042857142857,5.385714285714286,13.06857142857143,3.7142857142857144,3.3314285714285714,2
6,Beale Air Force Base,,39.13611111111111,-121.4363888888889,act,xlsx,,America/Los_Angeles,2026-03-03T08:00,48.4,92,46.0,1,0.0,0.0,0.0,0.0,0,3,1019.5,1015.6,5.0,180,8.6,66.74285714285715,43.84285714285714,54.300000000000004,64.05714285714285,38.68571428571429,0.0,0.0,0.0,17.657142857142855,28.900000000000002,37830.70714285714,5.285714285714286,18.405714285714286,0.0,3.1514285714285712,0
7,Cannon Air Force Base,,34.382777777777775,-103.32222222222222,act,xlsx,,America/Denver,2026-03-03T09:00,67.9,24,60.1,1,0.0,0.0,0.0,0.0,0,0,1009.0,868.5,14.2,277,25.2,71.84285714285714,42.4,56.24285714285714,61.84285714285714,34.98571428571428,0.0,0.0,0.0,33.042857142857144,52.971428571428575,38206.21142857143,6.171428571428572,19.99857142857143,0.0,5.304285714285714,0
8,Joint Base Charleston,,32.89861111111111,-80.04055555555556,act,xlsx,,America/New_York,2026-03-03T11:00,59.8,78,58.3,1,0.0,0.0,0.0,0.0,2,75,1028.8,1027.3,9.2,31,16.9,77.85714285714286,59.528571428571425,66.91428571428573,79.01428571428572,60.228571428571435,0.17142857142857143,0.0,0.0,15.457142857142857,31.428571428571427,34976.112857142856,6.278571428571429,18.204285714285714,1.4285714285714286,3.5799999999999996,2
9,Columbus Air Force Base,,33.64388888888889,-88.44388888888889,act,xlsx,,America/Chicago,2026-03-03T10:00,64.5,87,63.4,1,0.0,0.0,0.0,0.0,3,100,1021.9,1014.7,18.1,159,38.5,76.55714285714285,61.1,67.34285714285714,76.84285714285714,61.614285714285714,4.628571428571428,2.042857142857143,0.0,18.728571428571428,39.74285714285714,21512.11142857143,4.257142857142857,10.164285714285715,4.857142857142857,2.2328571428571427,2
10,Creech Air Force Base,,36.58722222222222,-115.67333333333332,act,xlsx,,America/Los_Angeles,2026-03-03T08:00,53.7,37,49.2,1,0.0,0.0,0.0,0.0,0,0,1018.3,910.4,0.5,315,7.2,66.12857142857142,46.357142857142854,55.91428571428571,57.51428571428572,39.5,0.014285714285714287,0.0,0.0,24.8,33.24285714285714,38087.474285714285,6.028571428571429,20.080000000000002,0.14285714285714285,4.42,0
11,Davis–Monthan Air Force Base,,32.16638888888889,-110.88305555555554,act,xlsx,,America/Phoenix,2026-03-03T09:00,70.2,18,63.2,1,0.0,0.0,0.0,0.0,0,0,1012.7,923.0,8.3,185,9.4,78.64285714285714,55.628571428571426,66.51428571428572,70.9,47.94285714285714,0.0,0.0,0.0,27.285714285714285,35.44285714285714,38659.85428571428,6.735714285714286,21.97714285714286,0.0,6.388571428571429,0
12,Dover Air Force Base,,39.12833333333333,-75.46472222222222,act,xlsx,,America/New_York,2026-03-03T11:00,38.2,95,32.8,1,0.0,0.0,0.0,0.0,3,100,1030.9,1030.3,9.4,92,15.1,60.1,41.74285714285714,51.028571428571425,58.042857142857144,35.42857142857143,1.4214285714285713,0.6285714285714287,0.0,24.114285714285717,49.32857142857143,24379.829999999998,3.9785714285714286,10.268571428571429,3.857142857142857,1.6085714285714285,1
13,Dyess Air Force Base,,32.420833333333334,-99.85472222222222,act,xlsx,,America/Chicago,2026-03-03T10:00,70.9,62,64.6,1,0.0,0.0,0.0,0.0,0,6,1009.4,948.2,32.8,193,57.6,75.58571428571429,58.01428571428572,66.0,71.89999999999999,53.82857142857143,2.6999999999999997,0.07142857142857142,0.0,35.128571428571426,60.57142857142857,27802.260000000002,4.835714285714286,13.072857142857144,5.0,3.63,2
