OBJECTID,Site_Name,State,latitude,longitude,Operational_Status,Reporting_Component,Is_Joint_Base,timezone,current_time,current_temperature_2m,current_relative_humidity_2m,current_apparent_temperature,current_is_day,current_precipitation,current_rain,current_showers,current_snowfall,current_weather_code,current_cloud_cover,current_pressure_msl,current_surface_pressure,current_wind_speed_10m,current_wind_direction_10m,current_wind_gusts_10m
1,Altus Air Force Base,,34.66638888888889,-99.26805555555556,act,xlsx,,America/Chicago,2026-03-03T10:00,66.4,66,61.5,1,0.0,0.0,0.0,0.0,3,100,1009.6,962.1,24.1,202,40.0
2,Joint Base Anacostia-Bolling,,38.84277777777778,-77.01611111111112,act,xlsx,,America/New_York,2026-03-03T11:00,33.5,100,29.5,1,0.0,0.0,0.0,0.0,45,100,1031.3,1030.3,1.8,360,2.5
3,Joint Base Andrews-Naval Air Facility Washington,,38.81083333333333,-76.86694444444444,act,xlsx,,America/New_York,2026-03-03T11:00,33.2,100,28.5,1,0.0,0.0,0.0,0.0,45,100,1031.4,1021.2,3.8,17,4.0
4,Arnold Air Force Base,,35.3925,-86.08583333333333,act,xlsx,,America/Chicago,2026-03-03T10:00,61.9,67,56.0,1,0.0,0.0,0.0,0.0,2,78,1022.4,984.2,23.5,169,42.5
5,Barksdale Air Force Base,,32.50194444444445,-93.66277777777778,act,xlsx,,America/Chicago,2026-03-03T10:00,70.1,80,69.8,1,0.0,0.0,0.0,0.0,3,100,1018.0,1012.3,20.0,172,37.8
6,Beale Air Force Base,,39.13611111111111,-121.4363888888889,act,xlsx,,America/Los_Angeles,2026-03-03T08:00,48.4,92,46.0,1,0.0,0.0,0.0,0.0,0,3,1019.5,1015.6,5.0,180,8.6
7,Cannon Air Force Base,,34.382777777777775,-103.32222222222222,act,xlsx,,America/Denver,2026-03-03T09:00,67.9,24,60.1,1,0.0,0.0,0.0,0.0,0,0,1009.0,868.5,14.2,277,25.2
8,Joint Base Charleston,,32.89861111111111,-80.04055555555556,act,xlsx,,America/New_York,2026-03-03T11:00,59.8,78,58.3,1,0.0,0.0,0.0,0.0,2,75,1028.8,1027.3,9.2,31,16.9
9,Columbus Air Force Base,,33.64388888888889,-88.44388888888889,act,xlsx,,America/Chicago,2026-03-03T10:00,64.5,87,63.4,1,0.0,0.0,0.0,0.0,3,100,1021.9,1014.7,18.1,159,38.5
10,Creech Air Force Base,,36.58722222222222,-115.67333333333332,act,xlsx,,America/Los_Angeles,2026-03-03T08:00,53.7,37,49.2,1,0.0,0.0,0.0,0.0,0,0,1018.3,910.4,0.5,315,7.2
