OBJECTID,Site_Name,State,latitude,longitude,Cluster,Temp (°F),Humidity (%),Feels Like (°F),Precip (mm),Rain (mm),Snow (mm),Weather Code,Cloud Cover (%),Pressure MSL,Surface Press.,Wind Speed (km/h),Wind Dir (°),Wind Gusts (km/h),Temperature 2M Max (7d),Temperature 2M Min (7d),Temperature 2M Mean (7d),Apparent Temperature Max (7d),Apparent Temperature Min (7d),Precipitation Sum (7d),Rain Sum (7d),Snowfall Sum (7d),Wind Speed 10M Max (7d),Wind Gusts 10M Max (7d),Sunshine Duration (7d),Uv Index Max (7d),Shortwave Radiation Sum (7d),Precipitation Hours (7d),Et0 Fao Evapotranspiration (7d),Temp (°F) (z-score),Humidity (%) (z-score),Feels Like (°F) (z-score),Precip (mm) (z-score),Rain (mm) (z-score),Snow (mm) (z-score),Weather Code (z-score),Cloud Cover (%) (z-score),Pressure MSL (z-score),Surface Press. (z-score),Wind Speed (km/h) (z-score),Wind Dir (°) (z-score),Wind Gusts (km/h) (z-score),Temperature 2M Max (7d) (z-score),Temperature 2M Min (7d) (z-score),Temperature 2M Mean (7d) (z-score),Apparent Temperature Max (7d) (z-score),Apparent Temperature Min (7d) (z-score),Precipitation Sum (7d) (z-score),Rain Sum (7d) (z-score),Snowfall Sum (7d) (z-score),Wind Speed 10M Max (7d) (z-score),Wind Gusts 10M Max (7d) (z-score),Sunshine Duration (7d) (z-score),Uv Index Max (7d) (z-score),Shortwave Radiation Sum (7d) (z-score),Precipitation Hours (7d) (z-score),Et0 Fao Evapotranspiration (7d) (z-score),Temp (°F) (rank),Humidity (%) (rank),Feels Like (°F) (rank),Precip (mm) (rank),Rain (mm) (rank),Snow (mm) (rank),Weather Code (rank),Cloud Cover (%) (rank),Pressure MSL (rank),Surface Press. (rank),Wind Speed (km/h) (rank),Wind Dir (°) (rank),Wind Gusts (km/h) (rank),Temperature 2M Max (7d) (rank),Temperature 2M Min (7d) (rank),Temperature 2M Mean (7d) (rank),Apparent Temperature Max (7d) (rank),Apparent Temperature Min (7d) (rank),Precipitation Sum (7d) (rank),Rain Sum (7d) (rank),Snowfall Sum (7d) (rank),Wind Speed 10M Max (7d) (rank),Wind Gusts 10M Max (7d) (rank),Sunshine Duration (7d) (rank),Uv Index Max (7d) (rank),Shortwave Radiation Sum (7d) (rank),Precipitation Hours (7d) (rank),Et0 Fao Evapotranspiration (7d) (rank)
88,Fort Bliss,,31.801944444444445,-106.42472222222224,0,70.4,16,63.9,0.0,0.0,0.0,0,0,1012.4,884.0,5.2,254,19.1,74.97142857142856,54.42857142857143,64.82857142857144,66.32857142857144,47.94285714285714,0.0,0.0,0.0,27.37142857142857,40.3,38575.874285714286,6.7,21.262857142857143,0.0,5.8100000000000005,1.1695929722613847,-2.771891188764043,0.8826736285247193,-0.17352829709160011,-0.14265580790704105,-0.06917144638660745,-0.40390044557469484,-1.592101429271151,-1.1356314658754896,-2.0690622937257923,-0.8810188115197434,0.9566941107703162,-0.3739534082222846,0.8689388939270706,0.5462155562846917,0.7971850658240285,0.4089212659260134,0.3154285198598652,-0.8428269329148801,-0.6690254025745666,-0.3321682985375722,0.5962787710253449,-0.04455409196187481,1.3514537713253338,1.3312499914661293,1.7055546439563225,-1.0811174452289627,2.3371002220108186,23,210,37,12,8,2,161,182,181,196,176,39,122,60,64,59,71,68,182,140,43,42,105,14,19,7,182,4
11,Davis–Monthan Air Force Base,,32.16638888888889,-110.88305555555554,0,70.2,18,63.2,0.0,0.0,0.0,0,0,1012.7,923.0,8.3,185,9.4,78.64285714285714,55.62857142857143,66.51428571428572,70.9,47.94285714285714,0.0,0.0,0.0,27.285714285714285,35.44285714285714,38659.85428571428,6.735714285714286,21.97714285714286,0.0,6.388571428571429,1.1562816141509387,-2.6743956440625194,0.8426226906622218,-0.17352829709160011,-0.14265580790704105,-0.06917144638660745,-0.40390044557469484,-1.592101429271151,-1.0942186490485777,-1.2828940712214552,-0.5389521053115052,0.22136111347231696,-1.0682776198245032,1.1542329206045505,0.6416489567666701,0.934768614585133,0.7010482506308309,0.3154285198598652,-0.8428269329148801,-0.6690254025745666,-0.3321682985375722,0.5861918899301845,-0.45539771408221846,1.362905911505048,1.3540104775285813,1.8675114366181287,-1.0811174452289627,2.77049011493801,25,208,40,12,8,2,161,182,174,188,139,81,182,34,61,47,61,68,182,140,43,46,129,12,16,3,182,2
35,Luke Air Force Base,,33.535,-112.38305555555554,0,69.9,23,61.8,0.0,0.0,0.0,0,0,1012.5,974.9,15.4,53,31.3,79.21428571428571,58.21428571428572,68.18571428571428,73.48571428571428,51.5,0.0,0.0,0.0,22.928571428571427,30.6,38793.62714285714,6.128571428571428,20.43285714285714,0.0,5.611428571428571,1.13631457698527,-2.4306567823087093,0.7625208149372262,-0.17352829709160011,-0.14265580790704105,-0.06917144638660745,-0.40390044557469484,-1.592101429271151,-1.1218271935998523,-0.23668559050414567,0.24449099600413685,-1.185362881358638,0.49932034245267054,1.1986366601652476,0.8472852125671234,1.0711862010686006,0.8662825763544927,0.5398028540113048,-0.8428269329148801,-0.6690254025745666,-0.3321682985375722,0.07344210092619217,-0.8650329726080906,1.3811481776665266,0.9670822144668947,1.5173608508833039,-1.0811174452289627,2.1883565303642016,28,202,46,12,8,2,161,182,179,158,70,187,60,31,46,39,54,60,182,140,43,88,164,8,41,12,182,8
124,Morris Air National Guard Base,,32.11527777777778,-110.93055555555556,0,68.9,19,62.1,0.0,0.0,0.0,0,0,1012.6,923.8,7.6,161,9.0,78.95714285714287,56.22857142857144,66.92857142857143,71.74285714285715,48.8,0.0,0.0,0.0,28.67142857142857,38.07142857142857,38637.92285714286,6.721428571428571,21.89428571428571,0.0,6.372857142857143,1.0697577864330412,-2.6256478717117573,0.7796855025925826,-0.17352829709160011,-0.14265580790704105,-0.06917144638660745,-0.40390044557469484,-1.592101429271151,-1.108022921324215,-1.2667675435803416,-0.616192974455301,-0.034406885587856685,-1.096909546076141,1.1786549773629353,0.68936565700766,0.9685815206365908,0.7549091634357816,0.36949462447466974,-0.8428269329148801,-0.6690254025745666,-0.3321682985375722,0.7492631343019459,-0.23305881269944428,1.3599151780644512,1.3449062831036,1.8487244486693581,-1.0811174452289627,2.758719031426407,33,206,44,12,8,2,161,182,176,187,147,103,183,32,59,45,60,65,182,140,43,32,118,13,17,4,182,3
99,Goldwater Air National Guard Base,,33.42666666666666,-112.01194444444444,0,68.3,25,63.9,0.0,0.0,0.0,0,0,1012.6,973.7,1.8,143,10.1,80.0,60.62857142857143,70.11428571428571,74.31428571428572,54.41428571428571,0.0,0.0,0.0,20.542857142857144,26.642857142857142,38749.24428571429,6.15,20.57857142857143,0.0,5.63,1.029823712101703,-2.3331612376071855,0.8826736285247193,-0.17352829709160011,-0.14265580790704105,-0.06917144638660745,-0.40390044557469484,-1.592101429271151,-1.108022921324215,-0.2608753819658162,-1.2561887473610367,-0.2262328848829869,-1.0181717488841369,1.2596918020612067,1.0392881254415793,1.2285911085495256,0.9192305923322414,0.7236276097016406,-0.8428269329148801,-0.6690254025745666,-0.3321682985375722,-0.20730942288910809,-1.199749688276724,1.3750957997006275,0.9807385061043665,1.5504000365863126,-1.0811174452289627,2.202267810877914,35,199,37,12,8,2,161,182,176,159,201,115,180,28,37,23,50,52,182,140,43,108,192,9,36,10,182,7
7,Cannon Air Force Base,,34.382777777777775,-103.32222222222222,0,67.9,24,60.1,0.0,0.0,0.0,0,0,1009.0,868.5,14.2,277,25.2,71.84285714285714,42.4,56.24285714285714,61.84285714285714,34.98571428571428,0.0,0.0,0.0,33.042857142857144,52.971428571428575,38206.21142857143,6.171428571428572,19.99857142857143,0.0,5.304285714285714,1.0032009958808121,-2.381909009957947,0.665254251556875,-0.17352829709160011,-0.14265580790704105,-0.06917144638660745,-0.40390044557469484,-1.592101429271151,-1.6049767232470473,-2.381513766772388,0.11207807747191553,1.2018051098696492,0.06268346711519283,0.6258284198322542,-0.41039067235609034,0.09644173696450294,0.12227166218441053,-0.5018707615672665,-0.8428269329148801,-0.6690254025745666,-0.3321682985375722,1.2636940701551318,1.0272644163344347,1.3010437825275976,0.9943947977418377,1.4188911209449266,-1.0811174452289627,1.958285352637421,36,201,57,12,8,2,161,182,205,200,75,28,90,69,130,89,89,143,182,140,43,21,33,20,35,23,182,9
20,Gila Bend Air Force Auxiliary Field,,32.8875,-112.72,0,66.5,25,61.9,0.0,0.0,0.0,0,0,1012.7,982.6,1.8,143,5.4,80.74285714285715,57.471428571428575,68.31428571428572,73.75714285714285,51.35714285714285,0.0,0.0,0.0,23.357142857142858,31.057142857142857,37779.55857142857,6.2,20.24,0.0,5.808571428571428,0.9100214891076911,-2.3331612376071855,0.7682423774890117,-0.17352829709160011,-0.14265580790704105,-0.06917144638660745,-0.40390044557469484,-1.592101429271151,-1.0942186490485777,-0.08146776195841668,-1.2561887473610367,-0.2262328848829869,-1.354596882340882,1.3174166634901134,0.7882073932211366,1.0816798615673293,0.8836276160713413,0.5307918365755033,-0.8428269329148801,-0.6690254025745666,-0.3321682985375722,0.12387650640199492,-0.8263653375849995,1.242862211581232,1.0126031865917993,1.4736325168646163,-1.0811174452289627,2.336030123509763,42,199,45,12,8,2,161,182,174,149,201,115,201,24,52,37,53,61,182,140,43,82,158,25,34,18,182,5
206,Abdullah Al Mubarak Air Base (Cargo City),,29.226666666666667,47.98,0,64.9,18,56.8,0.0,0.0,0.0,2,57,1016.7,1010.9,10.7,315,23.0,74.64285714285714,53.72857142857144,63.371428571428574,68.57142857142857,48.08571428571429,0.0,0.0,0.0,18.02857142857143,32.614285714285714,37728.5,5.871428571428572,20.31714285714286,0.0,4.817142857142857,0.803530624224125,-2.6743956440625194,0.47644268734795714,-0.17352829709160011,-0.14265580790704105,-0.06917144638660745,-0.28786885382273053,-0.2030741618968304,-0.5420477580232119,0.48900815334601155,-0.27412626824706293,1.6067711083815908,-0.09479212726881543,0.8434067436796703,0.4905460726702053,0.6782569135051071,0.552246067796814,0.32443953729566616,-0.8428269329148801,-0.6690254025745666,-0.3321682985375722,-0.5031912683471497,-0.6946537057875952,1.2358994833438426,0.8032067148172398,1.4911238504720918,-1.0811174452289627,1.593381763777736,47,208,73,12,8,2,119,133,145,86,111,24,100,61,67,63,65,67,182,140,43,128,151,26,53,15,182,15
190,NATO Air Base Geilenkirchen,,50.96083333333333,6.0425,0,63.5,52,60.7,0.0,0.0,0.0,0,0,1025.9,1016.1,6.1,346,14.0,63.22857142857144,40.67142857142857,50.8,59.85714285714285,36.22857142857143,0.0,0.0,0.0,11.37142857142857,21.885714285714283,36242.43,3.3000000000000003,13.04142857142857,0.0,1.9614285714285715,0.7103511174510041,-1.0169713841366113,0.6995836268675873,-0.17352829709160011,-0.14265580790704105,-0.06917144638660745,-0.40390044557469484,-1.592101429271151,0.7279452913351356,0.5938305830132574,-0.7817091226205775,1.9371381071676483,-0.7390104679306676,-0.043557954045254706,-0.5478602135265589,-0.3477898908149961,-0.004620996796745201,-0.42347490987579933,-0.8428269329148801,-0.6690254025745666,-0.3321682985375722,-1.2866057000712823,-1.602134765235767,1.033247876331832,-0.8355482816793143,-0.15856803958106322,-1.0811174452289627,-0.5457451398307968,57,177,54,12,8,2,161,182,56,68,166,12,156,98,146,126,97,135,182,140,43,201,206,45,161,105,182,133
44,Nellis Air Force Base,,36.23611111111112,-115.03416666666666,0,62.8,26,56.6,0.0,0.0,0.0,0,0,1017.1,952.4,6.3,66,10.4,72.02857142857142,53.68571428571429,62.4,63.08571428571429,45.07142857142857,0.0,0.0,0.0,30.685714285714287,43.21428571428572,37125.44,5.985714285714286,19.80857142857143,0.0,5.715714285714286,0.6637613640644435,-2.2844134652564234,0.4649995622443866,-0.17352829709160011,-0.14265580790704105,-0.06917144638660745,-0.40390044557469484,-1.592101429271151,-0.48683066892067844,-0.690244180410494,-0.7596403028652072,-1.0468218818677106,-0.9966978041954084,0.6402596351894806,0.4871377369387054,0.5989714786258261,0.2016936861510331,0.13430706940026924,-0.8428269329148801,-0.6690254025745666,-0.3321682985375722,0.986304840038218,0.20195208131033246,1.1536617165329504,0.8760402702170864,1.375810614096886,-1.0811174452289627,2.2664737209412023,60,198,75,12,8,2,161,182,140,177,163,182,176,68,68,68,86,79,182,140,43,30,90,33,47,25,182,6
